NAME,pwd_nursing_18_64_pct,pwd_grpquarters_institution_pct,pwd_grpquarters_noninstitution_pct,pwd_home_pct,pwd_corrections_pct,pwd_housing_choice_voucher_pct,pwd_pubhousing_pct,z_pwd_nursing_18_64_pct,z_pwd_grpquarters_institution_pct,z_pwd_grpquarters_noninstitution_pct,z_pwd_home_pct,z_pwd_corrections_pct,z_pwd_housing_choice_voucher_pct,z_pwd_pubhousing_pct,score_pwd_nursing_18_64_pct,score_pwd_grpquarters_institution_pct,score_pwd_grpquarters_noninstitution_pct,score_pwd_home_pct,score_pwd_corrections_pct,score_pwd_housing_choice_voucher_pct,score_pwd_pubhousing_pct,Living in Community Score,Affordable Housing Score
North Carolina,1.06,4.48,0.26,93.88,1.02,43.57,33.58,0.371936162085723,0.435926568255647,-0.311807883519951,0.518145182067047,-0.129366643174564,0.362726098582823,0.892697915653444,56.2,57.27,44.8,58.64,47.84,45.9675814332242,64.8782985942241,57.37,55.42
North Dakota,1.6,9.47,0.29,89.05,0.86,51.87,36.25,-1.1136922065298,-3.0,-0.0812769364625467,-2.24309699760537,0.286174695507369,-0.565598048406898,0.557174963273032,31.44,0.0,48.65,12.62,54.77,26.94809360193,59.2862493878839,14.69,43.12
Ohio,1.75,6.08,0.24,92.62,0.97,46.6,38.94,-1.52636675336744,-0.701392041931556,-0.465495181558221,-0.202178864804013,0.0004900251635399,0.0238318617901906,0.219138730350446,24.56,38.31,42.24,46.63,50.01,39.0243226225229,53.6523121725074,36.5,46.34
Oklahoma,1.38,5.24,0.21,93.81,1.57,48.62,43.4,-0.508436204501252,-0.104299771583274,-0.696026128615626,0.478127179463103,-1.55778999489371,-0.202097629404899,-0.34132283055466,41.53,48.26,38.4,57.97,24.04,34.3954834153886,44.3112861574223,49.25,39.35
Oregon,0.71,3.39,0.59,92.91,1.02,56.12,51.35,1.33484343804023,1.21072487144568,2.2240325341115,-0.0363899968733754,-0.129366643174564,-1.04094475017874,-1.34035184606937,72.25,70.18,87.07,49.39,47.84,17.2091992304842,27.6608025655105,63.94,22.44
Pennsylvania,1.3,6.23,0.32,91.99,1.12,47.1,46.24,-0.288343112854508,-0.808015661636606,0.149254010594858,-0.562340888239551,-0.389079979850773,-0.0320912795947332,-0.698208667543565,45.19,36.53,52.49,40.63,43.52,37.8785703435292,38.3631888742739,40.78,38.12
Rhode Island,1.75,6.58,0.52,90.17,0.63,45.0,42.3,-1.52636675336744,-1.05680410761506,1.68612699097756,-1.6028089559422,0.883515369862647,0.202785914221943,-0.203092400735017,24.56,32.39,78.1,23.29,64.73,42.6907299153024,46.6151266544164,26.75,44.65
South Carolina,0.89,3.9,0.24,94.6,0.76,37.1,31.44,0.839633981835053,0.848204564448508,-0.465495181558221,0.929758923136226,0.545888032183577,1.08637154810373,1.16161893366621,63.99,64.14,42.24,65.5,59.1,60.7936159234017,69.3603155611035,64.54,65.08
South Dakota,1.27,9.69,0.48,87.53,1.49,50.3,45.59,-0.205808203486979,-3.0,1.37875239490102,-3.0,-1.35001932555274,-0.38999938445824,-0.616527049922864,46.57,0.0,72.98,0.0,27.5,30.54575575797,39.7245491679523,15.52,35.14
Tennessee,1.11,4.23,0.22,94.5,1.08,38.36,37.27,0.234377979806508,0.613632601097397,-0.619182479596491,0.872590347987732,-0.285194645180289,0.94544523181372,0.428997655622088,53.91,60.23,39.68,64.54,45.25,57.9063201803378,57.1499609270348,59.56,57.53
Texas,1.0,5.0,0.14,94.11,1.97,41.64,37.23,0.537005980820781,0.0662980199448062,-1.23393167174957,0.649632904908593,-2.59664334159854,0.578589424328625,0.434024216706439,58.95,51.1,29.43,60.83,6.72,50.3901852301396,57.2337369451073,56.96,53.81
Utah,1.35,3.32,0.21,94.83,0.93,60.8,42.51,-0.425901295133723,1.26048256064137,-0.696026128615626,1.06124664597777,0.104375359834023,-1.56438535354162,-0.229481846427858,42.9,71.01,38.4,67.69,51.74,6.48495789910391,46.1753025595357,60.53,26.33
Vermont,0.84,4.33,0.68,91.28,0.43,60.2,49.13,0.977192164114268,0.542550187960697,2.91562537528372,-0.968237771793877,1.40294204321506,-1.49727758387971,-1.0613777058879,66.29,59.04,98.59,33.86,73.38,7.85986063389629,32.3103715685349,53.06,20.09
Virginia,1.04,4.73,0.22,93.73,1.19,43.37,34.51,0.426959434997409,0.258220535413896,-0.619182479596491,0.432392319344306,-0.570879315524118,0.385095355136792,0.775830370442289,57.12,54.3,39.68,57.21,40.49,46.4258823448217,62.9305061740381,56.21,54.68
Washington,0.62,3.23,0.4,93.92,0.6,56.26,48.5,1.58244816614281,1.3244567324644,0.764003202747938,0.541012612126449,0.96142937086551,-1.05660322976652,-0.98220936880938,76.37,72.07,62.73,59.02,66.02,16.888388592366,33.629843853177,69.15,25.26
West Virginia,0.86,4.67,0.2,94.54,1.42,46.25,37.89,0.922168891202582,0.300869983295917,-0.772869777634761,0.895457778047135,-1.1682199898794,0.062978060759636,0.351085958814652,65.37,55.01,37.12,64.92,30.53,39.8263492178184,55.8514326469109,61.77,47.84
Wisconsin,0.77,4.93,0.34,92.57,0.83,52.08,47.0,1.16977361930517,0.116055709140497,0.302941308633128,-0.230763152378268,0.364088696510231,-0.589085767788565,-0.793713328146228,69.5,51.93,55.05,46.15,56.07,26.4668776447528,36.7714445308962,55.86,31.62
Wyoming,0.65,4.56,0.16,94.55,0.94,55.54,40.36,1.49991325677528,0.379060637746287,-1.0802443737113,0.901174635561979,0.0784040261664024,-0.976073906172231,0.0406958118559945,75.0,56.32,32.0,65.02,51.31,18.5382718741169,50.6782635309332,65.45,34.61
Puerto Rico,,,,,0.16,13.27,12.4,,,,,2.10416805224083,3.0,3.0,,,,,85.07,100.0,100.0,,100.0
